vcc 0 0 0 vcc_model vcc_type global_master
adc/adc/iclkdrv/iclkgenprim1/nand1/mqp1 280 200 680 psvt p ec0nand02al1n03x5
adc/adc/iclkdrv/iclkgenprim1/nand1/mqp2 281 200 680 psvt p ec0nand02al1n03x5
adc/adc/iclkdrv/iclkgenprim1/bfn00/mg101.qna 282 200 680 nsvt n ec0bfn000al1n02x5
adc/adc/iclkdrv/iclkgenprim1/bfn00/mg101.qpa 283 200 680 psvt p ec0bfn000al1n02x5
adc/adc/iclkdrv/iclkgenprim1/bfn00/mqn1 284 200 680 nsvt n ec0bfn000al1n02x5
adc/adc/iclkdrv/iclkgenprim1/bfn00/mqp1 285 200 680 psvt p ec0bfn000al1n02x5
adc/adc/iclkdrv/iclkgenprim1/bfn01/mg101.qna 286 200 680 nsvt n ec0bfn000al1n02x5
adc/adc/iclkdrv/iclkgenprim1/bfn01/mg101.qpa 287 200 680 psvt p ec0bfn000al1n02x5
adc/adc/iclkdrv/iclkgenprim1/bfn01/mqn1 288 200 680 nsvt n ec0bfn000al1n02x5
adc/adc/iclkdrv/iclkgenprim1/bfn01/mqp1 289 200 680 psvt p ec0bfn000al1n02x5
